name,provider_series_slug,scoreboard_candidate_url,status
India Under-19s in Sri Lanka Youth Test Series 2026,24544,https://site.api.espn.com/apis/site/v2/sports/cricket/24544/scoreboard,requires-series-validation
New Zealand in West Indies ODI Series 2026,24437,https://site.api.espn.com/apis/site/v2/sports/cricket/24437/scoreboard,requires-series-validation
West Indies Women in Ireland ODI Series 2026,24255,https://site.api.espn.com/apis/site/v2/sports/cricket/24255/scoreboard,requires-series-validation
Uzbekistan v Afghanistan XI T20 Match 2026,24577,https://site.api.espn.com/apis/site/v2/sports/cricket/24577/scoreboard,requires-series-validation
Switzerland Women in Germany T20I Series 2026,24572,https://site.api.espn.com/apis/site/v2/sports/cricket/24572/scoreboard,requires-series-validation
India Women in England Test Match 2026,23808,https://site.api.espn.com/apis/site/v2/sports/cricket/23808/scoreboard,requires-series-validation
ICC Men's T20 World Cup Sub Regional Europe Qualifier B,24597,https://site.api.espn.com/apis/site/v2/sports/cricket/24597/scoreboard,requires-series-validation
South Africa Under-19s in England Youth Test Series 2026,24554,https://site.api.espn.com/apis/site/v2/sports/cricket/24554/scoreboard,requires-series-validation
Bangladesh in Zimbabwe ODI Series 2026,24418,https://site.api.espn.com/apis/site/v2/sports/cricket/24418/scoreboard,requires-series-validation
India Under-19s in Sri Lanka Youth ODI Series 2026,24545,https://site.api.espn.com/apis/site/v2/sports/cricket/24545/scoreboard,requires-series-validation
Portugal in Finland T20I Series 2026,24542,https://site.api.espn.com/apis/site/v2/sports/cricket/24542/scoreboard,requires-series-validation
Portugal in Sweden T20I Series 2026,24496,https://site.api.espn.com/apis/site/v2/sports/cricket/24496/scoreboard,requires-series-validation
India in England T20I Series 2026,23809,https://site.api.espn.com/apis/site/v2/sports/cricket/23809/scoreboard,requires-series-validation
Sri Lanka Women Under-19s in India unofficial ODI Series 2026,24528,https://site.api.espn.com/apis/site/v2/sports/cricket/24528/scoreboard,requires-series-validation
South Africa Under-19s in England Youth ODI Series 2026,24555,https://site.api.espn.com/apis/site/v2/sports/cricket/24555/scoreboard,requires-series-validation
India A Women in England unofficial ODI Series 2026,24524,https://site.api.espn.com/apis/site/v2/sports/cricket/24524/scoreboard,requires-series-validation
Bangladesh in Zimbabwe Test Match 2026,24419,https://site.api.espn.com/apis/site/v2/sports/cricket/24419/scoreboard,requires-series-validation
Switzerland Women in Denmark T20I Series 2026,24510,https://site.api.espn.com/apis/site/v2/sports/cricket/24510/scoreboard,requires-series-validation
Austria in Hungary T20I Series 2026,24532,https://site.api.espn.com/apis/site/v2/sports/cricket/24532/scoreboard,requires-series-validation
Serbia Women in Bulgaria T20I Series 2026,24514,https://site.api.espn.com/apis/site/v2/sports/cricket/24514/scoreboard,requires-series-validation
India in Ireland T20I Series 2026,24257,https://site.api.espn.com/apis/site/v2/sports/cricket/24257/scoreboard,requires-series-validation
India A in Sri Lanka unofficial Test Series 2026,24516,https://site.api.espn.com/apis/site/v2/sports/cricket/24516/scoreboard,requires-series-validation
West Indies Academy in Sri Lanka unofficial ODI Series 2026,24493,https://site.api.espn.com/apis/site/v2/sports/cricket/24493/scoreboard,requires-series-validation
Sri Lanka Women Under-19s in India unofficial T20I Series 2026,24529,https://site.api.espn.com/apis/site/v2/sports/cricket/24529/scoreboard,requires-series-validation
TG20 2026,,,missing-provider-slug-do-not-request
ICC World Twenty20 Americas Sub Regional Qualifier A,24527,https://site.api.espn.com/apis/site/v2/sports/cricket/24527/scoreboard,requires-series-validation
India A Women in England unofficial T20I Series 2026,24525,https://site.api.espn.com/apis/site/v2/sports/cricket/24525/scoreboard,requires-series-validation
Malta Women in Cyprus T20I Series 2026,24501,https://site.api.espn.com/apis/site/v2/sports/cricket/24501/scoreboard,requires-series-validation
Germany in Denmark T20I Series 2026,24474,https://site.api.espn.com/apis/site/v2/sports/cricket/24474/scoreboard,requires-series-validation
Zimbabwe A in Bangladesh unofficial Test Series 2026,24503,https://site.api.espn.com/apis/site/v2/sports/cricket/24503/scoreboard,requires-series-validation
Australia in Bangladesh T20I Series 2026,24322,https://site.api.espn.com/apis/site/v2/sports/cricket/24322/scoreboard,requires-series-validation
Nordic Smash T20 Cup 2026,,,missing-provider-slug-do-not-request
Guernsey Women in Jersey T20I Series 2026,24485,https://site.api.espn.com/apis/site/v2/sports/cricket/24485/scoreboard,requires-series-validation
Afghanistan in India ODI Series 2026,24225,https://site.api.espn.com/apis/site/v2/sports/cricket/24225/scoreboard,requires-series-validation
Sri Lanka in West Indies T20I Series 2026,24421,https://site.api.espn.com/apis/site/v2/sports/cricket/24421/scoreboard,requires-series-validation
Jharkhand Premier League 2026,,,missing-provider-slug-do-not-request
Sri Lanka A-Team Tri Series (OD) 2026,,,missing-provider-slug-do-not-request
Australia in Bangladesh ODI Series 2026,24323,https://site.api.espn.com/apis/site/v2/sports/cricket/24323/scoreboard,requires-series-validation
Zimbabwe A in Bangladesh unofficial ODI Series 2026,24504,https://site.api.espn.com/apis/site/v2/sports/cricket/24504/scoreboard,requires-series-validation
West Indies Academy in Sri Lanka unofficial Test Series 2026,24494,https://site.api.espn.com/apis/site/v2/sports/cricket/24494/scoreboard,requires-series-validation
ICC Women's T20 World Cup Warm-up Matches 2026,24447,https://site.api.espn.com/apis/site/v2/sports/cricket/24447/scoreboard,requires-series-validation
EUT20 Belgium 2026,,,missing-provider-slug-do-not-request
Afghanistan in India Test Match 2026,24226,https://site.api.espn.com/apis/site/v2/sports/cricket/24226/scoreboard,requires-series-validation
South Africa A in England unofficial ODI Series 2026,24408,https://site.api.espn.com/apis/site/v2/sports/cricket/24408/scoreboard,requires-series-validation
Sri Lanka in West Indies ODI Series 2026,24422,https://site.api.espn.com/apis/site/v2/sports/cricket/24422/scoreboard,requires-series-validation
Madhya Pradesh League T20 2026,,,missing-provider-slug-do-not-request
Eswatini T20 Tri-Series,24454,https://site.api.espn.com/apis/site/v2/sports/cricket/24454/scoreboard,requires-series-validation
Asian Games Men's Qualifier,24453,https://site.api.espn.com/apis/site/v2/sports/cricket/24453/scoreboard,requires-series-validation
Kuwait Women v Myanmar Women T20I Series 2026,24448,https://site.api.espn.com/apis/site/v2/sports/cricket/24448/scoreboard,requires-series-validation
Australia in Pakistan ODI Series 2026,24378,https://site.api.espn.com/apis/site/v2/sports/cricket/24378/scoreboard,requires-series-validation
Bahrain Women v Oman Women T20I Series 2026,24449,https://site.api.espn.com/apis/site/v2/sports/cricket/24449/scoreboard,requires-series-validation
Scotland Women's T20I Tri-Series,24414,https://site.api.espn.com/apis/site/v2/sports/cricket/24414/scoreboard,requires-series-validation
India Women in England T20I Series 2026,23812,https://site.api.espn.com/apis/site/v2/sports/cricket/23812/scoreboard,requires-series-validation
New Zealand in Ireland Test Match 2026,24260,https://site.api.espn.com/apis/site/v2/sports/cricket/24260/scoreboard,requires-series-validation
Asian Games Women's Qualifier,24413,https://site.api.espn.com/apis/site/v2/sports/cricket/24413/scoreboard,requires-series-validation
South Africa A in England unofficial Test Series 2026,24409,https://site.api.espn.com/apis/site/v2/sports/cricket/24409/scoreboard,requires-series-validation
New Zealand A Women in Sri Lanka unofficial T20I Series 2026,24380,https://site.api.espn.com/apis/site/v2/sports/cricket/24380/scoreboard,requires-series-validation
New Zealand Women in England T20I Series 2026,23815,https://site.api.espn.com/apis/site/v2/sports/cricket/23815/scoreboard,requires-series-validation
Nepal Women in Malaysia T20I Series 2026,24402,https://site.api.espn.com/apis/site/v2/sports/cricket/24402/scoreboard,requires-series-validation
